Overall	Division	Name	Number	Age	Gender	Category	Time
40	1/1	Tom Polakiewicz, Rick Geist, Bruce Griffiths, Mike Shidler, Joey Rogers, Dale Teshler	175	Legends 60+	male	OC-6	01:27:44.46
41	1/2	Susan Compton, Debra Klingensmith, Nancy Cunnington, Marla Drake Frey, Lois Nightingale, Jill Stafford	82	Legends 50+	female	OC-6 Unlimited	01:27:48.86
42	2/2	Pete Gapero, LarryLutz, Wayne Naholowaa, Frank Brokate, Clete Dadian, Pat Guillermo	117	Legends 50+	male	OC-6	01:28:08.44
43	1/4	Denise Young, Renee Oliver, Ellen Sibilia, Robert Sibilia, Robert Voorhees, Phillip Mata	28	Legends 50+	mixed	OC-6	01:28:09.93
44	10/12	carolyn partridge, vince sermona, Teresa Carraway, Michael Carraway, Steve Ferry, Karen Edwards	158	Open	mixed	OC-6 Unlimited	01:28:11.74
45	2/2	Niki Patterson, Cathy Carlson, Barb Domaszewicz, Sharon Strong, Ruthie Wheeler, Jan o’Reilly	104	Legends 50+	female	OC-6 Unlimited	01:28:40.40
46	2/4	Tro Murohey, Mia Murray, Ami Steward, Teena, Matt Rhoades, Jerry Mitchell	179	Legends 50+	mixed	OC-6	01:29:02.84
47	3/13	Bo Forster, Shannah Milstead, Pam Mintzer, Cecilia Velez, Andrea Spinale, Kristen Levitt	19	Open	female	OC-6	01:29:07.76
48	4/13	Kim Bolivar, Alyson Jackson, Gayle Kidder, Laura Lowery, Ryn Kapahulehua, Catherine Lindman	97	Open	female	OC-6	01:29:28.50
49	5/13	Trisha Sotire, Nicole Drach, Heather Ford, Andrea Souther, Brooklyn Gullickson, Trish Sayles	122	Open	female	OC-6	01:29:49.25
50	8/12	Alan Baldus, Pat Baldus, Steve Northam, Jane Northam, George Meszaros, Denise Ganaden	102	Open	mixed	OC-6	01:30:25.87
51	9/12	Tracy Andrews, Larry Costa, Catie Staley, Tyler Marx, Mike Gambino, Marisa DiNatale	101	Open	mixed	OC-6	01:30:34.43
52	10/12	CORINA CHINEN, Darren Marsh, Bernd Schultz, Lori Kitahata, Greg Kimura, Janice Inouye	198	Open	mixed	OC-6	01:30:52.16
53	1/1	Cheryl Cruz, Dina Stephensen , DIane Moore, Lind Brewer, Joan Hansen, Josie Badeaux	130	Legends 60+	female	OC-6 Unlimited	01:31:15.16
54	6/13	Paulette Scheffer, Jennifer Salvas, Jill Mutch, Nichole (Nikki) Franco, Jacy Higa, Emily Stout	18	Open	female	OC-6	01:31:25.59
55	7/13	Keahau Hopkins, Jacque Lickteig, Amber Lickteig, Hadley Hewlett, Alecia Malpass, Sue Stoetzer	49	Open	female	OC-6	01:31:55.49
56	8/13	Jennifer Kaminsky, Erika Gaudlitz, Brittani Summers, Noelle Murphy, Tracy Saunders, Alex Gaudlitz	84	Open	female	OC-6	01:32:02.03
57	3/4	Michael James, Leslie James, Kim Cyr, Dan Kuiper, Yogurt, Bob Sackett	176	Legends 50+	mixed	OC-6	01:32:06.85
58	1/4	SUSIE NEMETH, Audrey Webah, Amy Martinez, Casey White, Sandy Dean, Susie Dedrick	89	Legends 50+	female	OC-6	01:32:27.47
59	9/13	Debra Quitog, Amanda Davis, Ulli Brokate, Joan Rowe, Megan Neal, Dawn Keanini	119	Open	female	OC-6	01:32:58.31
60	11/12	Elijah White, Terry Mendoza, Lisa Zanin, Alicia Riley, Ric Ramirez, Tony Villanueva	87	Open	mixed	OC-6	01:32:59.21
61	10/13	Shelley Taniguchi, Stacie Dahl, Kathlene Francis, Sabrina Alias, Layla Bevins, Catherine Musngi	166	Open	female	OC-6	01:33:30.58
62	5/5	Roger Bushong, Chris Galvan, John Chavez, Chuck Dill, Tim Dill, Mark Dill	77	Open	male	OC-6	01:34:30.93
63	11/13	Faith Craycroft, Faith Craycroft, Gloria Butterworth, Gordeon Kaluhine, Yolanda Racca, Charlyn Sales	53	Open	female	OC-6	01:35:01.29
64	4/4	Todd Hosier, Danuta Gallagher, Hedy Downing, Lisa Zanin, Jeff Leonard, Steve Rosen	88	Legends 50+	mixed	OC-6	01:35:08.22
65	2/4	Jeanne Holdren, Jackie Speelman, Angie Veneroni, Michele Kirkpatrick, Cathy Chandler, Jan Chisman	69	Legends 50+	female	OC-6	01:35:21.38
66	12/12	Josh Hernandez, Mitz Cauilan, Suzie Jimenez, Maxim Angelich, Chris Carrock, Manu Birkmire	48	Open	mixed	OC-6	01:35:39.20
67	3/4	Ursula Gibson, Tammy Berger, Joanna Keahi, Puanani Carvalho, Susan Skinner, Maggie Reynolds	144	Legends 50+	female	OC-6	01:37:40.31
68	12/13	Suzanne Willis Wunsch, Debra Storrs, Robin Decker, Beverly Mauhili, Peggy Ewing, Deanna Dove	92	Open	female	OC-6	01:43:22.63
